artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
Re:[問卦]有沒有塔綠班選其他不選高端的八卦？,2021/08/31,16:06:07,https://www.ptt.cc/bbs/Gossiping/M.1630425969.A.2D6.html,qweerrt123,Gossiping,9,3,0,"這邊就要說啦

其實塔綠班的特性啊

就是越大聲的說就越不會去做啦

看看那個台獨喊這麼久

結果現在喜迎簡體復必泰

想想那個民主進步

結果現在那精美的色違法

他們喊什麼反著看就對了啦"
[問卦]塔綠班的領導者是「齁里發」嗎？,2021/08/31,16:15:10,https://www.ptt.cc/bbs/Gossiping/M.1630426512.A.B4B.html,fraternity,Gossiping,19,13,1,"先看一下「哈里發」的定義：
哈里發本為阿拉伯帝國最高的統治者稱號，相當於一般所說的皇帝，但同時兼有統治所有
遜尼派穆斯林的精神領袖的意味，故又可以同時起了類似天主教的教宗的作用。



後來妄想權力的人
幾乎都以哈里發自居，不過其他伊斯蘭國家承不承認又是另一回事


那麼
咱們塔綠班的領袖
應該就是一直齁齁齁的「齁里發」了吧？


"
Re:[問卦]AZ的發明者是不是應該拿一個諾貝爾？,2021/08/31,16:19:04,https://www.ptt.cc/bbs/Gossiping/M.1630426746.A.046.html,iloveEG,Gossiping,17,12,2,"大家好，我AZ仔

其他行業也是一樣 如果某間公司說要把產品以成本價或是遠低於行情的價格賣出 在同行
眼中 講好聽點叫打壞行情 講難聽點就是削價競爭

同行有兩個選擇：
1. 加入砍價錢的行列 - 以本案來看，佛心公司產品單價約新台幣150，同行當中甚至有
還在確認數據但深具信心的產品直接喊出高達新台幣881塊的價格，你覺得同行們有打算
要走這條路嗎？

2. 俗話說解決問題 不如解決提出問題的人：商業領域也是一樣 解決惹出這事的公司就
好了嘛！怎麼解決？最簡單也成本最低的方式就是抹黑，動動嘴巴就好，或是花點小錢請
人動動嘴巴就好，讓對方的東西「被傳聞」是假貨A貨用料爛，客戶再怎樣愛便宜貨，每
天聽到這東西是爛貨或是有毒，終究還是會不敢買的

打個比方，你眼前有袋米便宜到不行又標榜很有營養，但是（聽說/傳聞/研究指出）該米
產自某縣市，含有重金屬，很傷身體，你敢買來吃嗎？你是不是會多想幾秒鐘，想想還是
去買比較貴的米，應該比較保險，也蠻有營養的，對吧？

可是後來陸陸續續發現比較貴的米（好像/傳聞/統計指出）其實也有戴奧辛，不過大眾對
便宜米產自某縣市含有重金屬的印象已經深深烙印在腦海中，所以一想到就還是會怕怕的
，所謂先黑先贏，這就叫全面啟動後的認 吱…認 知 作 戰

所以說齁，某族群duck不必擔心塔綠班這種粗暴言論會太持久，畢竟已經有喜韓兒作為認
知作戰的偉大先行者了，依照認知作戰的定律，相信深植人心的會是喜韓兒，絕對不會是
塔綠班這種粗暴言論，對吧？

離題了，總之，AZ基本上就是遇到同樣的事情而已。

普渡眾生可以做，但不能說，要裝一下，假裝自己是有獨到的cost reduction手段，讓對
手往這方向想，雖然也是會黑啦因為你真他媽的賣太便宜了，便宜又好用啊大家都跑去買
你產品就好，那我是要賺屁賺？

AZ的開發者真的是好人，但是善良的下場就是被黑，不過他還是堅持到底的讓一支真正的
好疫苗，成功推廣到世界各國，他普渡眾生的心願也算是成功一半了，真的很了不起。

八卦是很多國家的疫苗接種死亡情形根本是反過來的（法國德國挪威奧地利等，比較貴的
疫苗打死的人可是比較多的，這是某中央xx指揮中心6/18的圖表說的，深具公信力，所以
300萬帳單duck不必）。還有某個阿內哈賽呦的國家，最近陸續爆出國家的幼苗慘遭比較
貴的疫苗摧殘的新聞，台灣人難道還覺得比較貴的疫苗一定比較好嗎？

AZ不但便宜，容易保存，全球統計也並沒有真的比高級貨危險到那裡去，目前研究甚至指
出抗體半衰期還比高級貨優秀，還可以大玩雞尾酒療法，台灣民眾現在居然還有不少人怕
爆AZ（可見認知作戰的威力有多強）

當然我不是說貴的疫苗就不好，只要有經過國際公認科學程序驗證其防護力的，就是好疫
苗，就踴躍去施打不用再挑品牌了。

至於專門造假的中國人做出來的疫苗，或是保護力未知或是有爭議的疫苗，大家應該自己
都有想法，粗暴的言論就duck不必了。"
Re:[問卦]我下跪乞求大家拜託別再說塔綠班了...,2021/08/31,16:39:06,https://www.ptt.cc/bbs/Gossiping/M.1630427949.A.75D.html,fu78ds,Gossiping,0,0,0,"各位
塔綠班弟兄
新試劑服英戰士
高端鬥士
聖地邁家
蓋牌組織
親征寺
阿拉花媽
Mdzz大家好

這邊提供火力武器支援
供出征無知的人類
鍵盤聖戰
轟轟
https://i.imgur.com/CNlOLo5.jpg
https://i.imgur.com/SWCE3CE.jpg
https://i.imgur.com/jds8uXJ.jpg
https://reurl.cc/YOZQOa
府"
Re:[新聞]她嗆警吃案：你們警察都是垃圾！吃一記「,2021/08/31,16:55:21,https://www.ptt.cc/bbs/Gossiping/M.1630428923.A.5AB.html,AGIknight,Gossiping,8,2,3,"是我的錯覺嗎

塔綠班的時代是不是越來越威權了呀

沒拿身分證大外割關24小時

離去罵句垃圾被衝上去大外割

連鐵絲網都架得比前一個時代還高

社會維護法一年辦個幾百人

Wow



照這樣下去明年政府應該可以把中共同路人拖到火車站槍斃吧

可喜可賀
"
Re:[新聞]青年甭等！BNT優先12至17歲　再開18至22,2021/08/31,17:37:43,https://www.ptt.cc/bbs/Gossiping/M.1630431465.A.FB9.html,yasaq,Gossiping,2,1,0,"呵 依專業考量？

A.30歲以下打-「BNT打死人啦！」

！！！！！！！！！！！！！！！！！！！！！

B.那30歲以下不打呢？

「經濟主力沒疫苗！國家幼苗沒疫苗！ＸＸ負責!ＸＸ下台啦！幹！塔綠班屠殺台灣人！」

！！！！！！！！！！！！！！！！！！！！！


所以要選哪個？　依專業考量重要還是依選票考量重要？



不選A選B嗎？

那誰要去跟那些喊沒疫苗的人溝通？



所以依選票考量就是錯的？

依專業考量現在一些４０歲以下的說不定根本就打不到疫苗

那大家願意這樣嗎？

別忘了「經濟主力沒疫苗！！ＸＸ負責！ＸＸ下台啦！幹！塔綠班屠殺台灣人！」



所以應該依專業考量還是選票考量？

我也不知道　呵呵
"
Re:[問卦]我就問20-22歲憑什麼優先打bnt?,2021/08/31,22:04:43,https://www.ptt.cc/bbs/Gossiping/M.1630447485.A.C1B.html,ianlin1216,Gossiping,14,5,2,"你搞錯重點了
你該問垃圾塔綠班
憑什麼搞不到疫苗還能爽爽每天講幹話
要人打糞高端，死了800人到現在沒人下台
還三不五時動怒嗆記者

還有二類狗官名單為什麼到現在還沒出來
一直解壓縮下去進再多都不夠打
去為難政策既得利益者幹嘛呢
逼死人的又不是他們，他們也怕死

btw我23沒疫苗，謝謝




"
[問卦]塔綠班可以吃嗎,2021/08/31,22:41:14,https://www.ptt.cc/bbs/Gossiping/M.1630449676.A.2A5.html,ianlin1216,Gossiping,9,3,0,"餓死抬頭
社畜昨天從公司拿到女同事團購吃剩的西點
一群假掰女人，每人吃一小塊就飽了
剩下全部留給我，爽
https://i.imgur.com/bgKG0mh.jpg
但今天早上打開一看原來是塔綠班
吃的話省下來午餐可以吃小火鍋
不吃的話中午就只有-4飯糰
請問現在怎麼辦

乾五八卦

"
Re:[問卦]塔綠班的領導者是「齁里發」嗎？,2021/08/31,22:48:35,https://www.ptt.cc/bbs/Gossiping/M.1630450117.A.83F.html,yoyoflag,Gossiping,5,3,0,"戰亂伊斯蘭國家
找死才會自稱""哈里發""
根本引人來圍毆你
聰明的就自稱""埃米爾""就好

舉例來說 香港黑社會
你自稱""紅棍"" 不會多麻煩
但是自稱""雙花紅棍"" 一定大家都想來挑戰你

如果是台灣黑社會
你可以自稱 ""新北角頭""
但如果自稱 ""新北最大尾老大""
一定被圍攻

因為以上講的這些稱號
具有""獨一性、至高性""
你一旦這樣自稱 不認同你的人 就會圍剿你

想要這種稱號 通常是要做到
讓人家服你 人家自願提議 給你這樣的稱號
而不是自己來自稱
"
[新聞]BNT檢驗試劑還沒來開打要等中旬後,2021/08/31,23:58:34,https://www.ptt.cc/bbs/Gossiping/M.1630454317.A.17B.html,kinmenGD,Gossiping,58,22,13,"備註請放最後面 違者新聞文章刪除
 
1.媒體來源:
自由時報
 
 
2.記者署名:
 〔記者吳亮儀、林惠琴／台北報導〕
3.完整新聞標題:
BNT檢驗試劑還沒來 開打要等中旬後
 
 
4.完整新聞內文:
沒來，第一批疫苗檢驗封緘時間恐得長達十四天，九月中旬後才能將疫苗配送各地供接種


今年五月第一批莫德納疫苗抵台前一週，就有檢驗試劑提早抵台，因此讓第一批莫德納檢
驗更快速。食品藥物管理署昨天證實，BNT檢驗試劑一直沒來，BNT疫苗的檢驗封緘將需時
十四天。

食藥署研檢組組長王德原解釋，所有的無菌試驗都要做十四天，但今年食藥署採另一種檢
驗方式，即用一款自動培養機器來加快速度，但也會確認一般方法和新方法得到的結果是
一樣的。

王德原說，若第一次確認兩種方式的檢驗結果都一樣，那日後疫苗抵台都能用新方法。這
也是為何AZ疫苗第一次抵台時需檢驗十四天，之後七天即可。而莫德納第一次來台時因已
測試過檢驗試劑，因此也不需要十四天。

BNT疫苗是mRNA疫苗，每家藥廠的疫苗種類不一樣，檢驗封緘的項目不同，因此要做相關評
估，原廠也會提供買家標準品的試劑，不過，至今BNT沒寄來檢驗試劑，恐得等到九月中旬
後才能將疫苗配送各地供接種。

第8輪接種BNT？阿中：很難講
第一批BNT今日抵台，許多符合第七輪AZ疫苗接種資格民眾想改選BNT。疫情指揮中心指揮
官陳時中提醒，符合AZ疫苗接種資格者若想改選BNT，沒預約者已開放從八月卅一日下午四
時加選，已預約者將於九月十一日開放改選。

至於第八輪疫苗接種是否會是BNT疫苗？陳時中則回應說：「這很難講。」

通報死亡解剖156例 尚無與疫苗有關
疫情指揮中心昨也公布接種武肺疫苗後不良事件通報死亡完成解剖個案，共計一五六例，
尚無確認與疫苗有關個案。而新增七例中有三例為主動脈剝離。

新增7例死亡 3例主動脈剝離
指揮中心發言人莊人祥表示，新增七解剖個案有三例接種高端，其中兩例為主動脈剝離。
一例為桃園市五十多歲男作家，八月二十三日接種、隔日死亡；一例為基隆市四十多歲女
性，八月二十四日接種、當天死亡。另有一例是桃園市四十多歲男性，死因為冠狀動脈硬
化性心臟病合併心肌梗塞。

其餘四例有兩例接種AZ疫苗，一例死因為氣管噎塞，一例為支氣管肺炎。還有兩例接種莫
德納，一例死因為心肌病變，一例為主動脈剝離。





 
 
5.完整新聞連結 (或短網址):
https://is.gd/Papsmy
6.備註:
塔綠班 嘻嘻.....
"
[問卦]有多少第二類打優質國產高端疫苗？？？？,2021/09/01,00:50:48,https://www.ptt.cc/bbs/Gossiping/M.1630457452.A.17F.html,a520,Gossiping,14,2,3,"第二類人數始終是個謎

高端這麼好為何不也先開放第二類打高端？？

塔綠班洗洗洗

聖蟑士洗洗洗

新試劑扶英戰士

英靈殿的勇士

看到1.5個博士PART TWO悶不吭聲

看到第二類不優先打高端不氣憤

太詭異了吧？？？？

開蟑聖母要來開示一下嗎？？？

有沒有第二類有多少打優質高端的卦？

-
Sent from JPTT on my Samsung SM-G9910.
"
Re:[新聞]「台北列本土、高雄列境外」遭疑雙標！,2021/09/01,00:53:10,https://www.ptt.cc/bbs/Gossiping/M.1630457592.A.423.html,shrines,Gossiping,17,2,0,"單純用發病日來判斷來源是境內還是境外

這個邏輯都不覺得怪怪的嗎？

更重要的是

就算是真的好了
台北的案例回國幾天發病後直接列本土

請問政府

這又是什麼火星邏輯

這才是大家覺得塔綠班政府鬼扯蛋的地方好嗎
"
Re:[新聞]BNT可能保留3千萬劑陳時中:疫苗放久會壞,2021/09/01,01:04:27,https://www.ptt.cc/bbs/Gossiping/M.1630458270.A.5EA.html,tetani,Gossiping,29,5,4,"進口疫苗就是不能太多
這樣才能製造給高端當作第三劑的空間
就像這次讓8月空下來
然後唬弄一堆人去打高端
營造高端大受好評，預約踴躍的空前盛況

除非10月罷免和12月公投徹底教訓塔綠班和它的聖戰士
不然大家就繼續忍耐到2年後吧
只剩下高端能打就別繼續抱怨了
真的是大家自己選的
"
Re:[新聞]BNT給大學生原因曝光：活動力強,2021/09/01,01:19:51,https://www.ptt.cc/bbs/Gossiping/M.1630459193.A.9E6.html,dophon,Gossiping,5,1,2,"時鐘:這批BNT對台灣意義重大
         來了我會去接機

        問我要不要再買3000萬劑
        我說不要
        對台灣意義重大的事我不願意做，而且拒絕

時鐘這是塔綠班的概念
扮演台灣人惡夢的恐怖份子
死了八百多人他們也毫不在意


"
[問卦]塔綠班跟伊斯藍為什麼要這樣互鬥？,2021/09/01,01:21:07,https://www.ptt.cc/bbs/Gossiping/M.1630459270.A.ACB.html,lamigo520,Gossiping,32,7,5,"不管是塔綠班還是伊斯藍，基本上都是同一個國家的人吧？

為什麼兩者都要為了自己的政治利益而互鬥啊？

不能為了國家攜手前進嗎？

有八卦？"
Re:[新聞]第2類造冊接種官員藍營4縣市最多,2021/09/01,01:21:27,https://www.ptt.cc/bbs/Gossiping/M.1630459289.A.3A1.html,Manny2020,Gossiping,21,2,3,"真的快笑死寶寶了

每一次塔綠斑快被剿滅時

狗民黨就出來證明他們更爛

可憐啊 難怪年輕人最討厭藍營

你他媽要批評塔綠斑之前

為什麼不要求全國各地方首長

先把自己的屁股擦乾淨

"
Re:[新聞]BNT可能保留3千萬劑陳時中:疫苗放久,2021/09/01,01:36:23,https://www.ptt.cc/bbs/Gossiping/M.1630460185.A.FDB.html,bbqute967,Gossiping,4,2,0,"今年疫情以來看到時鐘跟民進黨政府ㄧ直在講一些沒米怎麼不吃肉的話，亡國感真的越來
越重，不是因為對岸要打過來，是台灣被塔綠班獨裁的感覺越來越嚴重,只有獨裁者才會講
出一些不知民間疾苦的語言，當台灣反回獨裁體系，是不是就證明講中文的不適合民主？
引述《KTR5566》之銘言
Sent from
BePTT
on my iPhone XR
"
Re:[新聞]第2類造冊接種官員藍營4縣市最多,2021/09/01,01:37:17,https://www.ptt.cc/bbs/Gossiping/M.1630460241.A.345.html,alwang,Gossiping,25,7,0,"塔綠班別再鬧了

現在google查訊息那麼方便

隨便google一下""鄰長 疫苗""

第一頁就有好幾的縣市被google點名啦

宜蘭縣衛生局: 鄰長及殯葬業列第二類
https://www.ilshb.gov.tw/mobile/index.php?catid=23&cid=4&id=4243&action=view
雲林縣政府: 鄰長及殯葬人員優先施打疫苗
https://www.yunlin.gov.tw/News_Content.aspx?n=1244&s=340514
台中盧秀燕: 鄰長屬於第二類第四項
https://health.udn.com/health/story/121833/5542495
嘉義市西區區公所: 鄰長形同防疫工作第一線人員
https://west.chiayi.gov.tw/News_Content.aspx?n=276&s=615173
三藍一綠  這是google說的

"
[新聞](影)惡搞蔡英文｢新世紀扶英戰士｣改編,2021/09/01,01:38:42,https://www.ptt.cc/bbs/Gossiping/M.1630460326.A.4B7.html,HTC92,Gossiping,194,127,5,"1.媒體來源:
新頭殼newtalk

2.記者署名:
楊清緣

3.完整新聞標題:
(影)惡搞蔡英文｢新世紀扶英戰士｣改編動畫歌曲：小英啊~變成神話吧

4.完整新聞內文:
論壇PTT近期突然湧現「塔綠班」一詞調侃綠營，之後又有網友將經典動畫《EVA新世紀福音
戰士》Kuso成「EUA新試劑扶英戰士」惡搞蔡英文政府，還把該動畫主題曲改編成「殘劑天
使」。歌詞中譯後提到「像是殘劑的天使一樣，小英啊~變成神話吧」、「在肩上有著迎向
高端未來的翅膀、」「只會注射著我的是微笑著的你，悄悄地迷戀民進黨一切和追求的事物
」等句嘲諷民進黨政府。

有日檢N1網友將《EVA新世紀福音戰士》主題曲《殘酷天使的行動綱領》（残酷な天使のテ
ーゼ）改編翻譯推出「殘劑天使」歌曲，最後還有人幫忙翻唱，引發網友熱烈討論，紛紛留
言表示：「意外好聽推推」、「真的浪費才能」、「感覺很可愛」、「這比塔綠班好笑多了
」、「意外的順，而且聽起來完全不突兀」、「對於不會日文的我，聽起來跟原版一樣XD」
。國民黨台北市議員徐巧芯也留言說：「這首是她最喜歡的歌！希望能附上拼音，日文廢廢
也想學！」

《殘劑天使》歌詞寫道：「
」

對此，許多網友們留言調侃：「塔綠班準備要跟使徒告狀了，小心」、「等下塔綠班會自殺
式檢舉＋社維法」、「既然已經有歌了，可以開始做動畫啦」、「果然是扶英戰士，蔡英文
民調又回升了」、「側翼要來了， 第一波衝擊！！」、 「被針頭桶穿太好笑XD」、「個人
建議疫苗那個畫面要很多疫苗很多人岔著」、「雖然有哏，但是高端不是不會有殘劑嗎？」
，但也有網友直言：「原作粉覺得超不爽」、「不太喜歡自己喜歡的動畫被拿來跟他們扯上
關係！」


5.完整新聞連結 (或短網址):
https://newtalk.tw/news/view/2021-09-01/629337
6.備註:
https://youtu.be/EY1yFuJCZzs"
[問卦]你各位最後484還是會自動歸位,2021/09/01,01:40:19,https://www.ptt.cc/bbs/Gossiping/M.1630460421.A.165.html,XperiaZ6C,Gossiping,20,5,5,"欸欸

我阿肥

現在塔綠班洗很爽

最後芒果乾一搬出來

應該還是會乖乖跪下去吃的吧

所以

你各位最後484還是會自動歸位

有卦否
"
