text,negative,positive,type
 A group of Afghan diplomats from the deposed government in Kabul has issued a firstofitskind joint statement calling on world leaders to deny the Taliban formal recognition and chiding them for leaving our people at the mercy of a terrorist group Reuters,1,0,negative
 America got no chill  VietnamWar Saigon Afghanistan Kabul WarInAfghanistan Taliban WarOnTerror USArmy IEA USA,1,0,negative
 If Australia ScottRyan has any altercation with China please try to resolve by your own America USA JoeBidenIsaDisgrace will dupe you like Afghanistan All Countries like SouthKorea Japan Taiwan depending on JOE a Fagot must think multiple times See Kabul today,2,2,negative
 NEWS  TruthOut Decades of Reporting on Afghanistan War Failed to Look at Life Outside Kabul,1,0,negative
 Taliban Afghanistan Taliban cofounder and acting Deputy Prime Minister Mullah Abdul Ghani Baradar appeared in a television interview Wednesday to refute rumors he had been injured or even killed in a dispute last week at the presidential palace in Kabul,2,0,negative
 n his first media interview postfall of Kabul Pakistan Prime Minister Imran Khan made an impatient plea for international aid and help for the Taliban Pakistan Afghanistan Taliban USA Kabul,1,0,negative
160921 Resistance left behind vehicles and AhmadShahMassoud Mausoleum Shop in the background RKHayer Afghanistan TheEconomist FreeAfghanistan AfghanistanCrisis PanjshirGenocide AhmadMassoud kabul massoudmaryam taliban breaking PanjshirValley panjshir nrfafg,1,0,negative
17 Sept Kabul Taliban messaging  poster change The newold boys in town are having a spat  at firstuse images facial worship leaders but everyone else Contradictions  put them up take them down  whose on top symbolism Afghanistan,1,1,negative
1842 The Kabul garrison of 4500 British troops with 12000 followers marched out of the city with the promise it would be allowed to retreat from Afghanistan in safety It came under immediate attack Only a few escaped the massacre Taliban AfghanistanCrisis USArmy USA,2,0,negative
2 Dua Allah Guarantees to Answer During Bad Times,1,0,negative
2 Pakistani media just want right to spread fake news they dont care about Kashmir and national interests FreeAfghanistan GFarooqi asmashirazi SHABAZGIL IndianDisinfoExposed Kabul ImranKhan PakistanArmy HamidMirPAK ZarrarKhuhro MoeedNj PTIofficial,1,1,negative
22 in Pakistan bilateral relations and humanitarian aids The Pakistani ambassador pledged to facilitate peoples movement at Torkhan and Spinboldak and resolve problems faced by Afghan refugees there Taliban Kabul,1,0,negative
29 Purple Hearts have been approved Navy corpsmen who defended the Kabul airport in Afghanistan during the August suicide bombing,1,0,negative
2nd WHO aid shipment in Kabul w essential meds insulin consumables trauma surgery kitsCOVID testing kits urgent health needs of 145 million people provide for 5400 majorminor surgeries distributed to 280 health facilities 31 public COVID19 labs in Afghanistan,2,0,negative
3 Also the Taliban spokesman condemned the neighbors for trying to impose their own policies on Afghanistan AfghanistanBurning AfghanistanCrisis PanjshirValley Kabul SanctionPakistan,1,0,negative
35 Americans their Taliban friends Pakis 2 clear the mess they jointly crafted All sides wanted Ghani 2 b the sole victim of this dirty game Had not Ghani escaped Kabul that day the 1996 case would have been repeated Afghans would have lost another popular President,2,2,negative
35515 Rep Claudia Tenney RNY asks Would you agree that it would have been safer to evacuate these people had the US and Allied troops remained in Afghanistan Blinkens reply No I highly doubt that Afghanistan AfghanEvac Kabul,1,0,negative
44 All 5 entering Israel from Afghanistan came during the last 3 months They may have been Israelis who were there when Kabul was falling or actual Afghan refugees fleeing Taliban rule,2,0,negative
7 Marines still hospitalized weeks after Kabul airport suicide bombing,1,0,negative
7 Marines wounded in the Aug 26 suicide bombing outside Hamid Karzai International Airport in Kabul Afghanistan are still being treated at Walter Reed Medical Center in Bethesda Maryland,2,0,negative
A Corolla car was stolen and armed robbers forcibly hijacked a rickshaw yesterday and the day before in PD12 of Kabul City as BabaMeenaKabul reported,1,0,negative
A driveby assassination in Kabul a kidnap beheading in Jalalabad and an IED in Kunduz reported over the past 24hrs Worrying signs from Afghanistan,1,0,negative
A group of Afghan diplomats from Kabuls deposed government issue a joint statement calling on the leaders of the international community to deny the Taliban formal recognition and blames them for leaving a nation at the mercy of a terrorist group,1,0,negative
A group of Afghan diplomats from the deposed government in Kabul has issued a firstofitskind joint statement calling on world leaders to deny the Taliban formal recognition and chiding them for leaving the people at the mercy of a terrorist group,1,0,negative
A major row broke out between leaders of the Taliban just days after they set up a new government in Afghanistan senior Taliban officials told the BBC Supporters of two rival factions reportedly brawled at the presidential palace in the capital Kabul,2,1,negative
A major row broke out between leaders of the Taliban just days after they set up a new govt in Afghanistan Supporters of two rival factions reportedly brawled at the presidential palace in the capital Kabul MullahBaradar KhalilUrRehman US Pakistan,2,1,negative
A month after Kabuls fall Taliban stares at HumanitarianCrisis Kabul Afghanistan UN,1,0,negative
A month after Talibans takeover of Afghanistan signs of the 20year occupation are visible at Kabuls airport including evidence of a humiliating exit Not a good day to die says the book left on a bed in a deserted US camp Some photos I took for an AFP reportage,2,1,negative
A month after seizing Kabul the Taliban face daunting problems as they seek to convert their lightning military victory into a durable peacetime government CFISS,2,0,negative
A month after seizing Kabul the Taliban is facing daunting problems as it seeks to convert its lightning military victory into a durable peacetime government,4,0,negative
A month after the Islamists unimaginable takeover of Afghanistans capital US items left behind in Kabul airport are the remnants of the twodecade intervention that ended in an unthinkable exit AFP reportage from the deserted US barracks,1,0,negative
A month ago on this day at 1100AM I was out in downtown going about my business when a friend called me asking me to get home as Taliban have breached the city and all govt offices have been ordered to shut It was a shock Kabul,2,0,negative
A must read ZALMAY Khalilzad special representative for Afghanistan reconciliation from 2001 to 2021 details Negotiation bw Talibs USA AFG how Taliban took over Kabul  Why AFG Army Failed How Ghani Failed US AFG and a lot more,2,0,negative
A new UAE aid plane arrives in Afghanistan An Emirati aid plane coming from the capital Abu Dhabi arrived in Kabul  on Friday carrying dozens of tons of urgent food and medical supplies for the relief of the Afghan people,1,1,negative
A purported press release signed by Mohammad Khorasani a spokesperson of the Tehreek e Taliban Pakistan rejects SMQureshiPTIs offer of peace stating that they are proud of their struggle and will not apologise nor lay down arms ArifAlvi TTP Islamabad KabulWaziristan,1,1,negative
A retaliatory drone strike ordered by Joe Biden has killed an innocent aid worker and 7 children not terrorists USA Afghanistan JoeBiden Kabul WhiteHouse Drone Deaths Children UN Taliban Democrats,3,0,negative
A small allfemale protest in Kabul Panjshir PanjshirValley AhmadMassoud Section377 AmrullahSaleh Taliban Afghanistan TalibanTerror StandWithPanjshir SavePanjshir NationalUprising Kabul Kabulairport FreeAfghanistan,1,0,negative
A summary of corrupt Afghan politician Afghanistan Kabul Talibans,1,0,negative
A top Taliban leader has said he is alive denying rumours of his killing that surfaced following reports of an internal split in the Taliban group nearly a month after it took over Kabul,2,1,negative
A viral graphic claiming to be from AlJazeera stating that acting Afghan Deputy Prime Minister Mullah Abdul Ghani Baradar was killed in Kabul in a power struggle within the Taliban is fake 39n FakeNews Afghanistan MullahBaradar,2,0,negative
A wave of discontent with the Taliban reached Qandahar Peoples slogan Curse on the IslamicEmirate Harsh abuses hatrer of protesters to Taliban Afghanistan Kabul Panjshir NoToTaliban DoNotTouchMyClothes TaleemSaeTameer MetGala,2,0,negative
AAjtf ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx iPhone 13 Afghanistan Taliban Kashmir Kabul,1,0,negative
ABC POTUS SecBlinken SecDef WHCOS JakeSullivan46 whca PressSec thejointstaff thehill nycsouthpaw JuliaDavisNews CBSDavidMartin NatashaBertrand SenatorMenendez SenTedCruz ChrisMurphyCT SenRubioPress SenatorRomney RandPaul SenRonJohnson SenatorRisch SenSchumer ChrisCoons AP 4 ENotably and especially at that time when the US needed to secure and broaden the perimeter around HKI KabulAirport for safer evacuation Why then with having the mighty OTH availability but its as ifas SecBlinken statedthe US were afraid or fear that if Prez Biden,2,0,negative
