text,negative,positive,type
 Many people are selling their goods to survive and provide food for the table jakesimkinphotos afghanistankabuleverydaykabul Everydaykabul EverydayAfghanistan,0,1,positive
1  Govt open to pardon for TTP  Pakistan Foreign Minister Shah Mahmood Qureshi Dawn 15 Sept 2021 TTP USA explains PTI Leader Mr FawadChaudhry Ref  Daish ETIM FATF Kabul CPEC OBOR China Talibans Afghanistan,0,2,positive
1  KP govt to approve Rs277m grant for Darul Uloom Haqqania Dawn February 23 2018 Daish ETIM FATF Kabul CPEC OBOR China Talibans Afghanistan HaqqaniNetwork Pakistan TTP,0,1,positive
1 In the past 7 days Afghans peacefully marched for their humanrights Taliban fired at them killing dozens but the brave AfghanWomen and men kept marching towards the Pakistan Embassy in Kabul There is no greater duty no greater honor POTUS,1,2,positive
10DowningStreet DominicRaab MoJGovUK Because he did such a great job in Kabul,0,1,positive
14 Sept Panjshir Afghanistan Journalists wrelatives forcibly evicted by TalibanEye witness accounts being documentedMany in cities are from rural areas 3 provinces away fromcentre as well as Kabul a pattern emerges ethnic cleansing executions Daikunde Kandahar,0,1,positive
1st commercial flight in Kabul on Monday from Pakistan included members of World Bank journalist Stratfor asks who is providing technical support to allow for air traffic at Kabul airport reports the Taliban receiving tech support indicates return to commercial flights,0,2,positive
2  Govt open to pardon for TTP  Pakistan Foreign Minister ShahMahmoodQureshi Dawn 15 Sept 2021 TTP USA explains PTI Leader Mr FawadChaudhry Ref  Daish ETIM FATF Kabul CPEC OBOR China,0,2,positive
2  Imran defends KP govts Rs300m grant for Darul Uloom Haqqania Dawn June 22 2016 Daish ETIM FATF Kabul CPEC OBOR China Talibans Afghanistan HaqqaniNetwork Pakistan TTP FATF SingleNationalCurriculum SNC,0,1,positive
22 Women in Kabul have gathered under the name Spontaneous Movement of Afghan Women Fighters and say they are confronting the Taliban over religiouspoliticaltechnological and other scientific issues They reiterated their commitment to protecting womens rights Afghanistan,1,2,positive
3  Darul Uloom Haqqania agreed to reforms in return for Rs300m Imran Khan Dawn June 24 2016 Daish ETIM FATF Kabul CPEC OBOR China Talibans Afghanistan HaqqaniNetwork Pakistan TTP FATF SingleNationalCurriculum SNC,0,2,positive
3 However we are currently facing serious pressure including from neighboring countries we ask them not to put pressure on Afghanistan because the pressure does not work AfghanistanCrisis AfghanistanBurning Kabul,0,1,positive
48 Only days after setting up a new government in Kabul Taliban leaders reportedly started a brawl in the presidential palace over who did the most to gain victory and how to carve out the new cabinet Taliban representatives deny the reports,0,1,positive
50 today yay Ty for the good wishes Time for my happy pills pufc Kabul YUNA MetGala2021 MUFC NoVaccinePassportsAnywhere Nimes Berlin BiggBossTelugu5 Corona USAF USArmy USOpen usa Uk BB23,0,2,positive
60 women have taken refuge in my home My father brother have taken refuge in someone elses home I want them to leave Kabul at the earliest They are not safe there an Afghanistan student in India tells poonamjourno Watch on TheQuint,0,1,positive
65 million and gold bricks What if the US had spent a percentage of this money on Afghan people directly Kabul would have been a better place to hang around AfghanRefugees Kabul Afghanistan peaceforafghanistan,1,2,positive
911 china carrier shandong 420m from trumpistan aircraft carrier spratly islands southchinasea REMIND us ROGUE US7thFleet ROGUE usnavy midway ww2 distances LYIN PentagonPresSec GONNA BOOM or WIMPS kabul  21  saigon  75,0,1,positive
