status_id,sentence,sentiment
1439740696974409731, RT @anitakissee : This is my favorite #Covid19vaccine video on TikTok right now .,Positive
1439740696974409731, https://t.co/g4VvHPIX1f https://t.co/AdzdVE2sBe,Neutral
1439739935959912448, RT @anitakissee : This is my favorite #Covid19vaccine video on TikTok right now .,Positive
1439739935959912448, https://t.co/g4VvHPIX1f https://t.co/AdzdVE2sBe,Neutral
1439739587694268416," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439738737689350149, Congratulations #LauraLoomer you got what you wished for .,Neutral
1439738737689350149, But you wished you got your #COVID19Vaccine huh ?,Neutral
1439737837134303241, Covid vaccine injuries FDA report : #covidvaccine #vaccinemandate #FDA #covid19 #covid19vaccine https://t.co/04cIMXNL6z,Neutral
1439737665163649025," RT @AChVoice : [ Issue 282 ] When #Depression Weighs You Down Such That You Ca n't Eat , Work or Think & Coping and #PainManagement Strategies f …",Neutral
1439737490340864000, This is my favorite #Covid19vaccine video on TikTok right now .,Positive
1439737490340864000, https://t.co/g4VvHPIX1f https://t.co/AdzdVE2sBe,Neutral
1439737128129155075, RT @GeorgeRChelberg : Thank you for inviting us to be a part of your amazing Community Vacc Day @Wuchopperen and to see all the wonderful th …,Positive
1439736173614620672," If you refuse to get vaccinated and insist on forcing other people to have contact with you , you are basically assa … https://t.co/I77YoQbk34",Negative
1439735039147737088, RT @labdownunder : A great open letter by @CosmosMagazine editor in chief @ElizabethFinkel to those of you who may still be hesitant about g …,Positive
1439733519769554951," @StoneSculptorJN @terriblewis1 the vaccine efficacy was 95.4 % ( 95 % CI 86.0 - 99.1 ) in 13,218 participants ages 16 and … https://t.co/jIVdlgMW2l",Neutral
1439733230249418755," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439733199014436865," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439733161152352261," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439731908171161602, RT @BellevueHosp : Meet the NYC Health + Hospitals @BellevueHosp #NYCVaxChamps !,Neutral
1439731908171161602, You can visit the wall in the hospital ’s F - Link .,Neutral
1439731908171161602, Call 877 - VA …,Neutral
1439731826768089093, RT @allergytonews : #Vietnam approves #Cuba 's #Abdala #Covid - 19 vaccine as country battles deadly outbreak #Coronavirus #COVID19 #Covid19Vac …,Neutral
1439730491976925187," The U.K. joins the U.S. , Israel , and others in offering #COVID19 vaccine booster shots .",Neutral
1439730491976925187, Read more here : … https://t.co/BcIWAUWLDY,Neutral
1439730357482500096, RT @QAValley : 10 Enterprise AI and ML Trends to Watch in 2021 https://t.co/bWQLGjdE62 #ArtificialIntelligence #MachineLearning #COVID19 # p …,Neutral
1439730333218336771, RT @QAValley : 10 Enterprise AI and ML Trends to Watch in 2021 https://t.co/bWQLGjdE62 #ArtificialIntelligence #MachineLearning #COVID19 # p …,Neutral
1439729256632754178, RT @TRADOC : A nearly fatal bout with COVID - 19 drove the Harris family to do something they had been on the fence about before .,Negative
1439729256632754178, They got the …,Neutral
1439728744000733186, RT @TRADOC : A nearly fatal bout with COVID - 19 drove the Harris family to do something they had been on the fence about before .,Negative
1439728744000733186, They got the …,Neutral
1439727895379906560," RT @MSF_canada : “ Less wealthy countries should not be dumping grounds for ( #COVID19Vaccine ) doses on the cusp of expiry "" says @jwnickerson …",Neutral
1439725993204326400, A nearly fatal bout with COVID - 19 drove the Harris family to do something they had been on the fence about before .,Negative
1439725993204326400, … https://t.co/uouR7PZ7Y7,Neutral
1439724834343342080," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439724737639419905, The #FDA has scheduled a virtual meeting of its Vaccines and Related Biological Products Advisory Committee to disc … https://t.co/PPSiCiCl18,Neutral
1439724356209233921," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439723515582767105, Maple Community Centre in Maple [ York health unit ] 175 1st dose spots added First available date is 2021-09-20 Book … https://t.co/d4ktNIt5d1,Neutral
1439721436164263938, RT @Rosemary_Murphy : Heartfelt thanks to everyone who shared my #COVID19Vaccine thread & sent messages of support / congratulations .,Positive
1439721436164263938, Still ha …,Neutral
1439720977873657863," On August 23 , 2021 , our country reached an important milestone in our fight against the pandemic : the Pfizer vaccin … https://t.co/Rz0sRZG5d0",Neutral
1439720927080689666," Based on mounting evidence of the safety & effectiveness of COVID - 19 vaccines , the NFID has adopted a new policy re … https://t.co/afNGZZePaT",Negative
1439720194004422658, RT @Rosemary_Murphy : Heartfelt thanks to everyone who shared my #COVID19Vaccine thread & sent messages of support / congratulations .,Positive
1439720194004422658, Still ha …,Neutral
1439719755099820033," RT @AChVoice : [ Issue 282 ] When #Depression Weighs You Down Such That You Ca n't Eat , Work or Think & Coping and #PainManagement Strategies f …",Neutral
1439717020908535809, Absolutely !,Positive
1439717020908535809, #COVID19Vaccine #mandate for air travel !,Neutral
1439717020908535809, https://t.co/MAD1xm927b,Neutral
1439717013941886977, #COVID19Vaccine Why the hell are people packed into sports stadiums without masks like everything is just fine ?,Negative
1439717013941886977, … https://t.co/8FXX2bZr5D,Neutral
1439716657014976515," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439716136623423493, RT @AmEpilepsySoc : @tscalliance recently announced updated #COVID19vaccine guidance that includes the recommendation of a 3rd dose for #TSC …,Neutral
1439715982491193346, Audley Recreation Centre in Ajax [ Durham health unit ] 635 1st dose spots added First available date is 2021-09-21 B … https://t.co/FczCidwir2,Neutral
1439715960567521288," RT @YorkRegionGovt : York Region pop - up #COVID19Vaccine clinic taking place today Sunday , September 19 : - Markham Presentation Centre , 162 …",Neutral
1439713459801886723, TAIBU Community Health Centre in Scarborough [ Toronto health unit ] 180 2nd dose spots added First available date is … https://t.co/YAAGmwNSNR,Neutral
1439713458531020800, Birchmount Hospital in Scarborough [ Toronto health unit ] 2592 2nd dose spots added First available date is 2021 - 09 - … https://t.co/TTCfPY8I1z,Neutral
1439711876745777153," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439711013553704962, Together we can beat back COVID .,Neutral
1439711013553704962," If you get vaccinated at an NYC - run site , you can select Fogo Azul as a sponsor to … https://t.co/u0QgkJrYGn",Neutral
1439705504033476609," RT @AChVoice : [ Issue 282 ] When #Depression Weighs You Down Such That You Ca n't Eat , Work or Think & Coping and #PainManagement Strategies f …",Neutral
1439703379828150273," [ Issue 282 ] When #Depression Weighs You Down Such That You Ca n't Eat , Work or Think & Coping and #PainManagement St … https://t.co/h9p96zfbOf",Neutral
1439702853862387717," RT @LindoBaconX : Yes , COVID Vaccines Work for Fat People | MedPage Today https://t.co/7fwBDc3oeX",Negative
