created_at,status_id,user_id,user_name,text,favourites,retweet,source
2021-09-19 23:58:25,1439740696974409731,MPsLife,🐧 MP 🇺🇸,RT @anitakissee: This is my favorite #Covid19vaccine video on TikTok right now. https://t.co/g4VvHPIX1f https://t.co/AdzdVE2sBe,0,4,Twitter for Android
2021-09-19 23:55:24,1439739935959912448,AvgeekJoe,"joe a. kanzlar, VACCINATED & PLEASE BE VAXXED TOO!",RT @anitakissee: This is my favorite #Covid19vaccine video on TikTok right now. https://t.co/g4VvHPIX1f https://t.co/AdzdVE2sBe,0,4,Twitter Web App
2021-09-19 23:54:01,1439739587694268416,s_anand1,S.Anand,"RT @StanfordMed: Allergic reactions to the new mRNA-based COVID-19 vaccines are rare, and according to a Stanford Medicine study, typically…",0,23,Twitter for iPhone
2021-09-19 23:50:38,1439738737689350149,gr8stmurican,Greatest Amercian,Congratulations #LauraLoomer you got what you wished for. But you wished you got your #COVID19Vaccine huh?,0,0,Twitter for iPhone
2021-09-19 23:47:04,1439737837134303241,mmhonolulu,mmhonolulu,Covid vaccine injuries FDA report: #covidvaccine #vaccinemandate #FDA #covid19 #covid19vaccine https://t.co/04cIMXNL6z,0,0,Twitter for iPhone
2021-09-19 23:46:23,1439737665163649025,MondayBlogs,Monday Blogs,"RT @AChVoice: [Issue 282] When #Depression Weighs You Down Such That You Can't Eat, Work or Think &amp; Coping and #PainManagement Strategies f…",0,8,Twitter for iPad
2021-09-19 23:45:41,1439737490340864000,anitakissee,Anita Kissée,This is my favorite #Covid19vaccine video on TikTok right now. https://t.co/g4VvHPIX1f https://t.co/AdzdVE2sBe,42,4,Twitter for iPhone
2021-09-19 23:44:15,1439737128129155075,KateEbrill,Kate Ebrill,RT @GeorgeRChelberg: Thank you for inviting us to be a part of your amazing Community Vacc Day @Wuchopperen and to see all the wonderful th…,0,3,Twitter Web App
2021-09-19 23:40:27,1439736173614620672,DomanieB,Cookie,"If you refuse to get vaccinated and insist on forcing other people to have contact with you, you are basically assa… https://t.co/I77YoQbk34",5,0,Twitter Web App
2021-09-19 23:35:56,1439735039147737088,CosmosMagazine,Cosmos Magazine,RT @labdownunder: A great open letter by @CosmosMagazine editor in chief @ElizabethFinkel to those of you who may still be hesitant about g…,0,2,Twitter Web App
2021-09-19 23:29:54,1439733519769554951,gyrfalc63587709,gyrfalcon,"@StoneSculptorJN @terriblewis1 the vaccine efficacy was 95.4% (95% CI 86.0-99.1) in 13,218 participants ages 16 and… https://t.co/jIVdlgMW2l",0,0,Twitter Web App
2021-09-19 23:28:45,1439733230249418755,scogdill,scogdill,"RT @blackwomenviews: Tweeting this ""Black COVID-19 Experts"" list again for those interested in following trustworthy leaders in the medical…",0,620,Twitter for iPad
2021-09-19 23:28:38,1439733199014436865,BoladExxxx,💖 Olawumi 💖,"RT @StanfordMed: Allergic reactions to the new mRNA-based COVID-19 vaccines are rare, and according to a Stanford Medicine study, typically…",0,23,Twitter for iPhone
2021-09-19 23:28:29,1439733161152352261,drbryt77,Dr BRYT,"RT @StanfordMed: Allergic reactions to the new mRNA-based COVID-19 vaccines are rare, and according to a Stanford Medicine study, typically…",0,23,Twitter for Android
2021-09-19 23:23:30,1439731908171161602,sondrawomen,A WOMANS DAY,RT @BellevueHosp: Meet the NYC Health + Hospitals @BellevueHosp #NYCVaxChamps! You can visit the wall in the hospital’s F-Link. Call 877-VA…,0,2,Twitter for Android
2021-09-19 23:23:11,1439731826768089093,IvnGuerraRomero,Iván Guerra Romero,RT @allergytonews: #Vietnam approves #Cuba's #Abdala #Covid-19 vaccine as country battles deadly outbreak #Coronavirus #COVID19 #Covid19Vac…,0,1,Twitter for Android
2021-09-19 23:17:52,1439730491976925187,bw_james,James Boddam-Whetham,"The U.K. joins the U.S., Israel, and others in offering #COVID19 vaccine booster shots. Read more here:… https://t.co/BcIWAUWLDY",0,0,Twitter Web App
2021-09-19 23:17:20,1439730357482500096,hubofml,HubOfML,RT @QAValley: 10 Enterprise AI and ML Trends to Watch in 2021 https://t.co/bWQLGjdE62  #ArtificialIntelligence #MachineLearning #COVID19 #p…,0,12,hubofml
2021-09-19 23:17:14,1439730333218336771,Artificialbra1n,AI Bot,RT @QAValley: 10 Enterprise AI and ML Trends to Watch in 2021 https://t.co/bWQLGjdE62  #ArtificialIntelligence #MachineLearning #COVID19 #p…,0,12,optimistic_bot
2021-09-19 23:12:58,1439729256632754178,Christo36841352,Christopher,RT @TRADOC: A nearly fatal bout with COVID-19 drove the Harris family to do something they had been on the fence about before. They got the…,0,3,Twitter for iPhone
2021-09-19 23:10:56,1439728744000733186,tofogfan,Atra Ovis,RT @TRADOC: A nearly fatal bout with COVID-19 drove the Harris family to do something they had been on the fence about before. They got the…,0,3,Twitter for iPhone
2021-09-19 23:07:33,1439727895379906560,bavarian82,G.C.U.C,"RT @MSF_canada: “Less wealthy countries should not be dumping grounds for (#COVID19Vaccine) doses on the cusp of expiry"" says @jwnickerson…",0,8,Twitter for Android
2021-09-19 23:00:00,1439725993204326400,TRADOC,U.S. Army TRADOC,A nearly fatal bout with COVID-19 drove the Harris family to do something they had been on the fence about before.… https://t.co/uouR7PZ7Y7,11,3,Sprinklr
2021-09-19 22:55:23,1439724834343342080,7thangelProd,loving that mask and batty rider ensemble,"RT @blackwomenviews: Tweeting this ""Black COVID-19 Experts"" list again for those interested in following trustworthy leaders in the medical…",0,620,Twitter Web App
2021-09-19 22:55:00,1439724737639419905,DrugDiscoverDev,Drug Discovery & Development,The #FDA has scheduled a virtual meeting of its Vaccines and Related Biological Products Advisory Committee to disc… https://t.co/PPSiCiCl18,0,0,Sprout Social
2021-09-19 22:53:29,1439724356209233921,igetmysti,The Bougie GentleHomey™♐️,"RT @blackwomenviews: Tweeting this ""Black COVID-19 Experts"" list again for those interested in following trustworthy leaders in the medical…",0,620,Twitter for iPhone
2021-09-19 22:50:09,1439723515582767105,VaxYork,York Region Vaccination Updates,"Maple Community Centre in Maple [York health unit]
175 1st dose spots added
First available date is 2021-09-20
Book… https://t.co/d4ktNIt5d1",0,0,camh
2021-09-19 22:41:53,1439721436164263938,Clodagh_C,Clodagh Cremen,RT @Rosemary_Murphy: Heartfelt thanks to everyone who shared my #COVID19Vaccine thread &amp; sent messages of support/congratulations. Still ha…,0,2,Twitter for Android
2021-09-19 22:40:04,1439720977873657863,30seconds,30Seconds,"On August 23, 2021, our country reached an important milestone in our fight against the pandemic: the Pfizer vaccin… https://t.co/Rz0sRZG5d0",3,2,Twitter for iPhone
2021-09-19 22:39:52,1439720927080689666,30seconds,30Seconds,"Based on mounting evidence of the safety &amp; effectiveness of COVID-19 vaccines, the NFID has adopted a new policy re… https://t.co/afNGZZePaT",0,0,Twitter for iPhone
2021-09-19 22:36:57,1439720194004422658,russellnoirin,Dr Nóirín Ní Rùiséil,RT @Rosemary_Murphy: Heartfelt thanks to everyone who shared my #COVID19Vaccine thread &amp; sent messages of support/congratulations. Still ha…,0,2,Twitter for Android
2021-09-19 22:35:12,1439719755099820033,invisiblymeblog,InvisiblyMe,"RT @AChVoice: [Issue 282] When #Depression Weighs You Down Such That You Can't Eat, Work or Think &amp; Coping and #PainManagement Strategies f…",0,8,Twitter Web App
2021-09-19 22:24:21,1439717020908535809,shell3229,Shelley Grant,Absolutely! #COVID19Vaccine #mandate for air travel! https://t.co/MAD1xm927b,0,0,Twitter for Android
2021-09-19 22:24:19,1439717013941886977,PamO88426052,PamO,"#COVID19Vaccine 
Why the hell are people packed into sports stadiums without masks   like everything is just fine?… https://t.co/8FXX2bZr5D",0,0,Twitter for Android
2021-09-19 22:22:54,1439716657014976515,DMkpanam,Santan Dan Xavi,"RT @blackwomenviews: Tweeting this ""Black COVID-19 Experts"" list again for those interested in following trustworthy leaders in the medical…",0,620,Twitter for iPhone
2021-09-19 22:20:50,1439716136623423493,Drmizyinks,"Oyin,M.D.",RT @AmEpilepsySoc: @tscalliance recently announced updated #COVID19vaccine guidance that includes the recommendation of a 3rd dose for #TSC…,0,3,Twitter for Android
2021-09-19 22:20:13,1439715982491193346,VaxDurham,Durham Vaccination Updates,"Audley Recreation Centre in Ajax [Durham health unit]
635 1st dose spots added
First available date is 2021-09-21
B… https://t.co/FczCidwir2",0,0,Durham 
2021-09-19 22:20:08,1439715960567521288,JobSkillsOrg,Job Skills,"RT @YorkRegionGovt: York Region pop-up #COVID19Vaccine clinic taking place today Sunday, September 19:

- Markham Presentation Centre, 162…",0,8,Twibble.io
2021-09-19 22:10:12,1439713459801886723,VaxToronto,Toronto Vaccination Updates,"TAIBU Community Health Centre in Scarborough [Toronto health unit]
180 2nd dose spots added
First available date is… https://t.co/YAAGmwNSNR",1,1,vaxtoronto
2021-09-19 22:10:11,1439713458531020800,VaxToronto,Toronto Vaccination Updates,"Birchmount Hospital in Scarborough [Toronto health unit]
2592 2nd dose spots added
First available date is 2021-09-… https://t.co/TTCfPY8I1z",1,1,vaxtoronto
